expiry,type,strike,bid,ask,openInterest,iv_source
2026-11-20,call,360,95.60,97.80,2447,43.63
2026-11-20,call,370,86.00,88.45,256,41.22
2026-11-20,call,380,77.15,79.30,12812,39.93
2026-11-20,call,390,68.60,70.75,1423,39.19
2026-11-20,call,400,60.15,62.10,4352,37.75
2026-11-20,call,410,51.60,53.60,1349,35.80
2026-11-20,call,420,44.65,46.30,1819,35.70
2026-11-20,call,430,38.15,39.65,2478,35.56
2026-11-20,call,440,32.25,33.40,2676,35.27
2026-11-20,call,450,26.20,27.90,3501,34.56
2026-11-20,call,460,22.15,23.10,3330,34.87
2026-11-20,call,470,18.20,19.05,3208,34.92
2026-11-20,call,480,14.80,15.35,4647,34.81
2026-11-20,call,490,11.90,13.15,926,35.40
2026-11-20,call,500,9.75,10.20,2628,35.29
2026-11-20,call,510,7.45,8.40,1124,35.30
2026-11-20,call,520,6.05,6.40,6735,35.28
2026-11-20,call,530,4.40,5.30,781,35.26
2026-11-20,call,540,3.60,4.10,289,35.52
2026-11-20,call,550,2.91,3.25,622,35.88
2026-11-20,put,360,1.36,1.57,4074,36.70
2026-11-20,put,370,2.03,2.16,5580,36.01
2026-11-20,put,380,2.85,3.05,4522,35.36
2026-11-20,put,390,4.00,4.40,5117,35.02
2026-11-20,put,400,5.50,5.90,4786,34.38
2026-11-20,put,410,7.35,7.80,3537,33.69
2026-11-20,put,420,10.00,10.75,1835,33.77
2026-11-20,put,430,13.05,13.95,1735,33.40
2026-11-20,put,440,16.85,17.95,569,33.25
2026-11-20,put,450,21.45,22.70,643,33.26
2026-11-20,put,460,26.70,27.90,195,33.12
2026-11-20,put,470,32.55,33.95,448,33.07
2026-11-20,put,480,38.95,41.25,398,33.45
2026-11-20,put,490,46.05,47.95,92,33.07
2026-11-20,put,500,53.45,56.10,287,33.25
2026-11-20,put,510,60.65,64.25,63,32.37
2026-11-20,put,520,69.45,72.75,171,32.54
2026-11-20,put,530,78.30,81.45,173,32.17
2026-11-20,put,540,87.65,90.75,2,32.58
2026-11-20,put,550,97.35,100.10,0,33.03
